"color","num_critic_for_reviews","duration","gross","movie_title","num_voted_users","num_user_for_reviews","language","country","budget","title_year","imdb_score","movie_facebook_likes"
"Color",284,150,291709845,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1463,"English","USA",1.8e+08,2005,6.9,0
"Color",396,144,154985087,"X-Men: Apocalypse ",148379,622,"English","USA",1.78e+08,2016,7.3,54000
"Color",645,152,533316061,"The Dark Knight ",1676169,4667,"English","USA",1.85e+08,2008,9,37000
"Color",408,96,292979556,"Up ",665575,704,"English","USA",1.75e+08,2009,8.3,27000
"Color",219,94,198332128,"Monsters vs. Aliens ",114553,187,"English","USA",1.75e+08,2009,6.5,0
"Color",486,126,318298180,"Iron Man ",696338,1055,"English","USA",1.4e+08,2008,7.9,10000
"Color",682,126,73820094,"Hugo ",245333,678,"English","USA",1.7e+08,2011,7.5,42000
"Color",85,106,113745408,"Wild Wild West ",129601,648,"English","USA",1.7e+08,1999,4.8,0
"Color",264,112,102176165,"The Mummy: Tomb of the Dragon Emperor ",117927,501,"English","USA",1.45e+08,2008,5.2,0
"Color",418,123,161087183,"Suicide Squad ",118992,971,"English","USA",1.75e+08,2016,6.9,80000
"Color",186,96,100289690,"Evan Almighty ",115099,257,"English","USA",1.75e+08,2007,5.4,2000
"Color",585,113,100189501,"Edge of Tomorrow ",431620,741,"English","USA",1.78e+08,2014,7.9,77000
"Color",91,176,88246220,"Waterworld ",144337,309,"English","USA",1.75e+08,1995,6.1,0
"Color",250,118,150167630,"G.I. Joe: The Rise of Cobra ",174578,534,"English","USA",1.75e+08,2009,5.8,0
"Color",536,95,356454367,"Inside Out ",345198,773,"English","USA",1.75e+08,2015,8.3,118000
"Color",370,106,362645141,"The Jungle Book ",106072,398,"English","UK",1.75e+08,2016,7.8,65000
"Color",453,124,312057433,"Iron Man 2 ",522371,723,"English","USA",2e+08,2010,7,18000
"Color",416,132,155111815,"Snow White and the Huntsman ",228554,710,"English","USA",1.7e+08,2012,6.1,53000
"Color",401,97,241407328,"Maleficent ",252257,634,"English","USA",1.8e+08,2014,7,89000
"Color",521,130,208543795,"Dawn of the Planet of the Apes ",317542,620,"English","USA",1.7e+08,2014,7.6,45000
"Color",218,128,38297305,"47 Ronin ",116994,324,"English","USA",1.75e+08,2013,6.3,35000
"Color",576,136,259746958,"Captain America: The Winter Soldier ",496749,742,"English","USA",1.7e+08,2014,7.8,55000
"Color",226,93,238371987,"Shrek Forever After ",138661,173,"English","USA",1.65e+08,2010,6.4,0
"Color",443,130,93417865,"Tomorrowland ",128306,497,"English","USA",1.9e+08,2015,6.5,37000
"Color",384,102,222487711,"Big Hero 6 ",279093,433,"English","USA",1.65e+08,2014,7.9,41000
"Color",377,101,189412677,"Wreck-It Ralph ",272534,345,"English","USA",1.65e+08,2012,7.8,40000
"Color",188,100,665426,"The Polar Express ",120798,444,"English","USA",1.65e+08,2004,6.6,10000
"Color",286,120,102315545,"Independence Day: Resurgence ",58137,520,"English","USA",1.65e+08,2016,5.5,67000
"Color",288,98,217387997,"How to Train Your Dragon ",485430,492,"English","USA",1.65e+08,2010,8.2,33000
"Color",280,109,150350192,"Terminator 3: Rise of the Machines ",305340,1676,"English","USA",2e+08,2003,6.4,0
"Color",653,121,333130696,"Guardians of the Galaxy ",682155,1097,"English","USA",1.7e+08,2014,8.1,96000
"Color",712,169,187991439,"Interstellar ",928227,2725,"English","USA",1.65e+08,2014,8.6,349000
"Color",642,148,292568851,"Inception ",1468200,2803,"English","USA",1.6e+08,2010,8.8,175000
"Color",187,106,144512310,"The Fast and the Furious ",272223,988,"English","USA",3.8e+07,2001,6.7,14000
"Color",362,166,127490802,"The Curious Case of Benjamin Button ",459346,822,"English","USA",1.5e+08,2008,7.8,23000
"Color",500,132,146405371,"X-Men: First Class ",518537,698,"English","USA",1.6e+08,2011,7.8,54000
"Color",389,137,281666058,"The Hunger Games: Mockingjay - Part 2 ",166137,383,"English","USA",1.6e+08,2015,6.6,38000
"Color",235,109,63143812,"The Sorcerer's Apprentice ",124185,238,"English","USA",1.5e+08,2010,6.1,11000
"Color",231,98,60655503,"Poseidon ",82380,629,"English","USA",1.6e+08,2006,5.6,0
"Color",218,113,76846624,"Alice Through the Looking Glass ",21352,131,"English","USA",1.7e+08,2016,6.4,30000
"Color",227,93,320706665,"Shrek the Third ",211971,326,"English","USA",1.6e+08,2007,6.1,0
"Color",275,123,46978995,"Warcraft ",111609,781,"English","USA",1.6e+08,2016,7.3,89000
"Color",474,126,89732035,"Terminator Genisys ",188457,867,"English","USA",1.55e+08,2015,6.6,82000
"Color",228,113,104383624,"The Chronicles of Narnia: The Voyage of the Dawn Treader ",106446,227,"English","USA",1.55e+08,2010,6.3,11000
" Black and White",191,184,198539855,"Pearl Harbor ",254111,1999,"English","USA",1.4e+08,2001,6.1,0
"Color",396,144,318759914,"Transformers ",513158,1782,"English","USA",1.5e+08,2007,7.1,8000
"Color",248,206,34293771,"Alexander ",138863,1390,"English","Germany",1.55e+08,2004,5.5,0
"Color",329,138,292000866,"Harry Potter and the Order of the Phoenix ",355137,1108,"English","UK",1.5e+08,2007,7.5,0
"Color",295,157,289994397,"Harry Potter and the Goblet of Fire ",385670,1896,"English","UK",1.5e+08,2005,7.6,0
"Color",318,102,227946274,"Hancock ",343648,590,"English","USA",1.5e+08,2008,6.4,0
"Color",323,104,256386216,"I Am Legend ",530870,1413,"English","USA",1.5e+08,2007,7.2,11000
"Color",276,115,206456431,"Charlie and the Chocolate Factory ",320284,1361,"English","USA",1.5e+08,2005,6.7,0
"Color",318,111,206435493,"Ratatouille ",473887,626,"English","USA",1.5e+08,2007,8,10000
"Color",478,128,205343774,"Batman Begins ",980946,2685,"English","USA",1.5e+08,2005,8.3,15000
"Color",167,89,179982968,"Madagascar: Escape 2 Africa ",146019,119,"English","USA",1.5e+08,2008,6.7,0
"Color",185,105,177243721,"Night at the Museum: Battle of the Smithsonian ",130272,209,"English","USA",1.5e+08,2009,5.9,2000
"Color",350,119,179883016,"X-Men Origins: Wolverine ",361924,641,"English","USA",1.5e+08,2009,6.7,0
"Color",245,129,139259759,"The Matrix Revolutions ",364948,2121,"English","Australia",1.5e+08,2003,6.7,0
"Color",406,102,400736600,"Frozen ",421658,904,"English","USA",1.5e+08,2013,7.6,58000
"Color",275,138,281492479,"The Matrix Reloaded ",421818,2789,"English","USA",1.5e+08,2003,7.2,0
"Color",486,112,206360018,"Thor: The Dark World ",414070,532,"English","USA",1.7e+08,2013,7.1,63000
"Color",739,120,153629485,"Mad Max: Fury Road ",552503,1588,"English","Australia",1.5e+08,2015,8.1,191000
"Color",298,146,133375846,"Angels & Demons ",207839,435,"English","USA",1.5e+08,2009,6.7,0
"Color",516,115,181015141,"Thor ",536314,738,"English","USA",1.5e+08,2011,7,63000
"Color",225,96,114053579,"Bolt ",146766,178,"English","USA",1.5e+08,2008,6.9,0
"Color",145,88,119420252,"G-Force ",33042,90,"English","USA",1.5e+08,2009,5.1,0
"Color",310,99,83640426,"Wrath of the Titans ",152826,253,"English","USA",1.5e+08,2012,5.8,19000
"Color",526,113,79711678,"Dark Shadows ",199039,479,"English","USA",1e+08,2012,6.2,82000
"Color",465,131,195000874,"Mission: Impossible - Rogue Nation ",232187,440,"English","China",1.5e+08,2015,7.4,47000
"Color",357,119,61937495,"The Wolfman ",89442,432,"English","USA",1.5e+08,2010,5.8,0
"Color",248,110,124051759,"The Legend of Tarzan ",42372,239,"English","USA",1.8e+08,2016,6.6,29000
"Color",194,91,126597121,"Bee Movie ",105902,206,"English","USA",1.5e+08,2007,6.2,0
"Color",284,90,165230261,"Kung Fu Panda 2 ",182718,209,"English","USA",1.5e+08,2011,7.3,20000
"Color",280,103,131564731,"The Last Airbender ",118951,1382,"English","USA",1.5e+08,2010,4.2,18000
"Color",310,124,133382309,"Mission: Impossible III ",256695,871,"English","USA",1.5e+08,2006,6.9,0
"Color",339,131,73103784,"White House Down ",164238,434,"English","USA",1.5e+08,2013,6.4,33000
"Color",132,88,21379315,"Mars Needs Moms ",17590,112,"English","USA",1.5e+08,2011,5.4,0
"Color",135,85,64459316,"Flushed Away ",85086,122,"English","UK",1.49e+08,2006,6.7,0
"Color",256,111,34964818,"Pan ",39956,186,"English","USA",1.5e+08,2015,5.8,24000
"Color",196,92,111505642,"Mr. Peabody & Sherman ",47900,130,"English","USA",1.45e+08,2014,6.9,11000
"Color",220,196,133228348,"Troy ",381672,1694,"English","USA",1.75e+08,2004,7.2,0
"Color",211,93,216366733,"Madagascar 3: Europe's Most Wanted ",119213,154,"English","USA",1.45e+08,2012,6.9,17000
" Black and White",264,133,160201106,"Die Another Day ",169914,1185,"English","UK",1.42e+08,2002,6.1,0
"Color",464,116,118099659,"Ghostbusters ",69757,1211,"English","USA",1.44e+08,2016,5.5,62000
"Color",167,153,201573391,"Armageddon ",322395,1171,"English","USA",1.4e+08,1998,6.6,11000
"Color",208,88,190418803,"Men in Black II ",270207,606,"English","USA",1.4e+08,2002,6.1,2000
"Color",287,115,82161969,"Beowulf ",142440,505,"English","USA",1.5e+08,2007,6.3,3000
"Color",210,95,143523463,"Kung Fu Panda 3 ",64322,145,"English","USA",1.45e+08,2016,7.2,24000
"Color",432,133,209364921,"Mission: Impossible - Ghost Protocol ",365104,512,"English","USA",1.45e+08,2011,7.4,35000
"Color",256,97,103400692,"Rise of the Guardians ",123553,174,"English","USA",1.45e+08,2012,7.3,25000
"Color",135,90,110332737,"Fun with Dick and Jane ",110788,258,"English","USA",1e+08,2005,6.1,2000
"Color",190,154,111110575,"The Last Samurai ",317166,928,"English","USA",1.4e+08,2003,7.7,0
"Color",314,150,65007045,"Exodus: Gods and Kings ",128682,657,"English","UK",1.4e+08,2014,6.1,51000
"Color",518,127,257704099,"Star Trek ",504419,1559,"English","USA",1.5e+08,2009,8,19000
"Color",291,121,403706375,"Spider-Man ",544665,2012,"English","USA",1.39e+08,2002,7.3,5000
"Color",292,102,176997107,"How to Train Your Dragon 2 ",221128,343,"English","USA",1.45e+08,2014,7.9,46000
"Color",184,126,31141074,"Gods of Egypt ",51892,273,"English","USA",1.4e+08,2016,5.5,24000
"Color",145,121,31704416,"Stealth ",45455,388,"English","USA",1.35e+08,2005,5,0
"Color",451,215,107503316,"Watchmen ",392474,1229,"English","USA",1.3e+08,2009,7.7,18000
"Color",141,127,129734803,"Lethal Weapon 4 ",127497,287,"English","USA",1.4e+08,1998,6.6,0
"Color",267,138,132122995,"Hulk ",212106,1445,"English","USA",1.37e+08,2003,5.7,0
"Color",351,122,122512052,"G.I. Joe: Retaliation ",146352,288,"English","USA",1.3e+08,2013,5.8,42000
"Color",163,124,68642452,"Sahara ",77673,463,"English","UK",1.3e+08,2005,6,0
"Color",166,106,32131830,"Final Fantasy: The Spirits Within ",72259,788,"English","USA",1.37e+08,2001,6.4,0
"Color",510,124,176636816,"Captain America: The First Avenger ",508818,679,"English","USA",1.4e+08,2011,6.9,46000
"Color",197,128,126930660,"The World Is Not Enough ",157519,683,"English","UK",1.35e+08,1999,6.4,2000
"Color",244,138,93926386,"Master and Commander: The Far Side of the World ",168207,684,"English","USA",1.5e+08,2003,7.4,0
"Color",322,115,292298923,"The Twilight Saga: Breaking Dawn - Part 2 ",185394,329,"English","USA",1.2e+08,2012,5.5,65000
"Color",156,100,63992328,"Happy Feet 2 ",32399,79,"English","Australia",1.35e+08,2011,5.9,0
"Color",354,135,134518390,"The Incredible Hulk ",326286,643,"English","USA",1.5e+08,2008,6.8,0
"Color",252,117,52792307,"The BFG ",12572,106,"English","UK",1.4e+08,2016,6.8,27000
"Color",556,156,183635922,"The Revenant ",406020,1188,"English","USA",1.35e+08,2015,8.1,190000
"Color",166,96,83024900,"Turbo ",62424,90,"English","USA",1.35e+08,2013,6.5,13000
"Color",362,107,123207194,"Rango ",183208,337,"English","USA",1.35e+08,2011,7.2,26000
"Color",153,92,83348920,"Penguins of Madagascar ",60230,118,"English","USA",1.32e+08,2014,6.7,11000
"Color",329,115,227137090,"The Bourne Ultimatum ",491077,820,"English","USA",1.1e+08,2007,8.1,0
"Color",266,92,215395021,"Kung Fu Panda ",307029,360,"English","USA",1.3e+08,2008,7.6,6000
"Color",517,117,180191634,"Ant-Man ",313866,549,"English","USA",1.3e+08,2015,7.4,61000
"Color",502,146,424645577,"The Hunger Games: Catching Fire ",498397,706,"English","USA",1.3e+08,2013,7.6,82000
"Color",322,115,292298923,"The Twilight Saga: Breaking Dawn - Part 2 ",185394,329,"English","USA",1.2e+08,2012,5.5,65000
"Color",165,94,177343675,"Home ",70121,214,"English","USA",1.35e+08,2015,6.7,26000
"Color",401,116,234277056,"War of the Worlds ",334345,2741,"English","USA",1.32e+08,2005,6.5,0
"Color",94,147,138396624,"Bad Boys II ",178126,511,"English","USA",1.3e+08,2003,6.6,0
"Color",246,90,149234747,"Puss in Boots ",114287,137,"English","USA",1.3e+08,2011,6.7,16000
"Color",330,101,118311368,"Salt ",245621,514,"English","USA",1.1e+08,2010,6.4,23000
"Color",434,138,101160529,"Noah ",200022,1240,"English","USA",1.25e+08,2014,5.8,71000
"Color",440,107,77564037,"The Adventures of Tintin ",177383,447,"English","USA",1.35e+08,2011,7.4,44000
"Color",274,142,249358727,"Harry Potter and the Prisoner of Azkaban ",382255,1504,"English","UK",1.3e+08,2004,7.8,11000
"Color",245,165,49551662,"Australia ",102338,450,"English","Australia",1.3e+08,2008,6.6,0
"Color",349,100,60522097,"After Earth ",158720,744,"English","USA",1.3e+08,2013,4.9,37000
"Color",145,82,137748063,"Dinosaur ",38438,241,"English","USA",127500000,2000,6.5,0
"Color",154,98,113733726,"Night at the Museum: Secret of the Tomb ",67223,126,"English","USA",1.27e+08,2014,6.2,11000
"Color",233,95,148337537,"Megamind ",172754,187,"English","USA",1.3e+08,2010,7.3,13000
"Color",258,159,317557891,"Harry Potter and the Sorcerer's Stone ",444683,1571,"English","UK",1.25e+08,2001,7.5,16000
"Color",208,96,33592415,"R.I.P.D. ",91640,210,"English","USA",1.3e+08,2013,5.6,20000
"Color",271,143,305388685,"Pirates of the Caribbean: The Curse of the Black Pearl ",809474,2113,"English","USA",1.4e+08,2003,8.1,10000
"Color",403,123,337103873,"The Hunger Games: Mockingjay - Part 1 ",305008,591,"English","USA",1.25e+08,2014,6.7,52000
"Color",294,174,217536138,"The Da Vinci Code ",314253,1966,"English","USA",1.25e+08,2006,6.6,0
"Color",159,101,131536019,"Rio 2 ",58498,99,"English","USA",1.03e+08,2014,6.4,0
"Color",289,134,214948780,"X-Men 2 ",405973,1055,"English","Canada",1.1e+08,2003,7.5,0
"Color",342,132,209805005,"Fast Five ",284792,366,"English","USA",1.25e+08,2011,7.3,54000
"Color",382,129,186830669,"Sherlock Holmes: A Game of Shadows ",338635,412,"English","USA",1.25e+08,2011,7.5,39000
"Color",344,106,163192114,"Clash of the Titans ",229679,637,"English","USA",1.25e+08,2010,5.8,15000
"Color",196,113,119412921,"Total Recall ",240241,391,"English","USA",6.5e+07,1990,7.5,0
"Color",85,102,32694788,"The 13th Warrior ",101411,546,"English","USA",8.5e+07,1999,6.6,0
"Color",436,135,113165635,"The Bourne Legacy ",229823,504,"English","USA",1.25e+08,2012,6.7,31000
"Color",183,125,107285004,"Batman & Robin ",189855,1018,"English","USA",1.25e+08,1997,3.7,0
"Color",175,110,260031035,"How the Grinch Stole Christmas ",141414,482,"English","USA",1.23e+08,2000,6,0
"Color",239,124,186739919,"The Day After Tomorrow ",333248,1159,"English","USA",1.25e+08,2004,6.4,19000
"Color",237,123,215397307,"Mission: Impossible II ",242188,1426,"English","USA",1.25e+08,2000,6.1,0
"Color",231,130,182618434,"The Perfect Storm ",133076,779,"English","USA",1.4e+08,2000,6.4,0
"Color",262,92,131920333,"Fantastic 4: Rise of the Silver Surfer ",213275,436,"English","USA",1.3e+08,2007,5.6,0
"Color",552,127,124976634,"Life of Pi ",440084,755,"English","USA",1.2e+08,2012,8,122000
"Color",276,123,115802596,"Ghost Rider ",182661,681,"English","USA",1.1e+08,2007,5.2,0
"Color",267,123,108521835,"Jason Bourne ",40123,297,"English","UK",1.2e+08,2016,7.1,31000
"Color",102,107,100685880,"Charlie's Angels: Full Throttle ",100821,554,"English","USA",1.2e+08,2003,4.8,0
"Color",775,124,126464904,"Prometheus ",456260,2326,"English","USA",1.3e+08,2012,7,97000
"Color",71,77,64736114,"Stuart Little 2 ",36471,69,"English","USA",1.2e+08,2002,5.4,459
"Color",476,109,93050117,"Elysium ",338087,814,"English","USA",1.15e+08,2013,6.6,61000
"Color",207,134,57637485,"The Chronicles of Riddick ",183909,666,"English","USA",1.05e+08,2004,6.7,0
"Color",492,117,58607007,"RoboCop ",182899,630,"English","USA",1e+08,2014,6.2,60000
"Color",284,135,43929341,"Speed Racer ",57873,414,"English","USA",1.2e+08,2008,6.1,0
"Color",168,121,30212620,"How Do You Know ",35066,196,"English","USA",1.2e+08,2010,5.3,0
"Color",283,117,76418654,"Knight and Day ",148280,348,"English","USA",1.17e+08,2010,6.3,11000
"Color",539,124,89021735,"Oblivion ",387436,892,"English","USA",1.2e+08,2013,7,71000
"Color",359,140,380262555,"Star Wars: Episode III - Revenge of the Sith ",520104,3286,"English","USA",1.13e+08,2005,7.6,10000
"Color",284,142,310675583,"Star Wars: Episode II - Attack of the Clones ",464310,3516,"English","USA",1.15e+08,2002,6.7,0
"Color",250,92,289907418,"Monsters, Inc. ",585659,593,"English","USA",1.15e+08,2001,8.1,0
"Color",440,138,132550960,"The Wolverine ",328067,533,"English","USA",1.2e+08,2013,6.7,68000
"Color",320,136,474544677,"Star Wars: Episode I - The Phantom Menace ",534658,3597,"English","USA",1.15e+08,1999,6.5,13000
"Color",257,98,187165546,"The Croods ",150618,195,"English","USA",1.35e+08,2013,7.3,28000
"Color",152,153,40911830,"Windtalkers ",55994,454,"English","USA",1.15e+08,2002,6,0
"Color",231,120,47952020,"The Huntsman: Winter's War ",37750,134,"English","USA",1.15e+08,2016,6.1,16000
"Color",348,101,190871240,"Teenage Mutant Ninja Turtles ",167085,491,"English","USA",1.25e+08,2014,5.9,62000
"Color",738,91,274084951,"Gravity ",582917,1885,"English","UK",1e+08,2013,7.8,147000
"Color",93,108,67155742,"Dante's Peak ",62271,277,"English","USA",1.16e+08,1997,5.8,0
"Color",369,100,56114221,"Fantastic Four ",110486,695,"English","USA",1.2e+08,2015,4.3,41000
"Color",179,108,250863268,"Night at the Museum ",234480,444,"English","USA",1.1e+08,2006,6.4,3000
"Color",358,114,155181732,"San Andreas ",147497,499,"English","USA",1.1e+08,2015,6.1,52000
"Color",160,119,125332007,"Tomorrow Never Dies ",149680,328,"English","UK",1.1e+08,1997,6.5,0
"Color",192,142,113330342,"The Patriot ",207613,1144,"English","USA",1.1e+08,2000,7.1,4000
"Color",198,125,125531634,"Ocean's Twelve ",284852,627,"English","USA",1.1e+08,2004,6.4,0
"Color",233,126,186336103,"Mr. & Mrs. Smith ",348861,798,"English","USA",1.2e+08,2005,6.5,0
"Color",263,119,129995817,"Insurgent ",154621,258,"English","USA",1.1e+08,2015,6.3,27000
" Black and White",267,170,102608827,"The Aviator ",264318,799,"English","USA",1.1e+08,2004,7.5,0
"Color",184,85,42776259,"Gulliver's Travels ",53160,121,"English","USA",1.12e+08,2010,4.9,0
"Color",447,119,98780042,"The Green Hornet ",136019,443,"English","USA",1.2e+08,2011,5.8,14000
"Color",366,102,106369117,"300: Rise of an Empire ",225273,523,"English","USA",1.1e+08,2014,6.2,71000
"Color",172,103,142614158,"The Smurfs ",66593,153,"English","USA",1.1e+08,2011,5.5,31000
"Color",104,76,50026353,"Home on the Range ",13581,88,"English","USA",1.1e+08,2004,5.4,304
"Color",181,120,66002193,"Allegiant ",44296,144,"English","USA",1.1e+08,2016,5.8,12000
"Color",327,127,85463309,"Real Steel ",254841,426,"English","USA",1.1e+08,2011,7.1,36000
"Color",125,105,71017784,"The Smurfs 2 ",27257,59,"English","USA",1.05e+08,2013,5.4,0
"Color",79,121,48068396,"Speed 2: Cruise Control ",60573,248,"English","USA",1.6e+08,1997,3.7,894
"Color",326,114,61656849,"Ender's Game ",184561,554,"English","USA",1.1e+08,2013,6.7,123000
"Color",354,129,134520804,"Live Free or Die Hard ",336235,782,"English","USA",1.1e+08,2007,7.2,0
"Color",297,171,313837577,"The Lord of the Rings: The Fellowship of the Ring ",1238746,5060,"English","New Zealand",9.3e+07,2001,8.8,21000
"Color",188,120,24004159,"Around the World in 80 Days ",68720,191,"English","USA",1.1e+08,2004,5.8,0
" Black and White",174,165,58183966,"Ali ",79186,386,"English","USA",1.07e+08,2001,6.8,0
"Color",109,82,100446895,"The Cat in the Hat ",36033,456,"English","USA",1.09e+08,2003,3.8,946
"Color",225,115,144795350,"I, Robot ",387632,789,"English","USA",1.2e+08,2004,7.1,0
"Color",239,194,47396698,"Kingdom of Heaven ",217373,942,"English","USA",1.3e+08,2005,7.2,0
"Color",101,84,140015224,"Stuart Little ",94172,179,"English","Germany",1.33e+08,1999,5.9,0
"Color",228,97,104374107,"The Princess and the Frog ",89351,214,"English","USA",1.05e+08,2009,7.1,5000
"Color",568,151,228430993,"The Martian ",472488,1023,"English","USA",1.08e+08,2015,8.1,153000
